strategy_label,sample,cost_bps,funding_estimator,funding_lookback_events,basis_convergence_horizon_events,open_threshold,close_threshold,is_final_rule,sample_start,sample_end,n_periods,annual_return,annual_volatility,sharpe,total_return,max_drawdown,mean_turnover,mean_gross_exposure,active_events
"median funding 42 events, basis horizon 21, entry 0.00030",train_2020_2023,20,median,42,21,0.0003,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06094426149038675,0.02231429517491042,2.7311757334334628,0.27485825609657066,-0.02873930588344742,0.00920514637601792,0.6471125313855284,2835
"median funding 42 events, basis horizon 21, entry 0.00030",forward_2024_onward,20,median,42,21,0.0003,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03394156787911032,0.0058010328921917365,5.850952495855712,0.08761753343651435,-0.005311580239381275,0.0027883750449652694,1.0,2711
"median funding 42 events, basis horizon 21, entry 0.00035",train_2020_2023,20,median,42,21,0.00035,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.05998432296514645,0.022658831155649133,2.6472823135976986,0.2699326177843704,-0.030604149027865124,0.00883400252567915,0.6322757361333029,2770
"median funding 42 events, basis horizon 21, entry 0.00035",forward_2024_onward,20,median,42,21,0.00035,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03458864332800422,0.005829977768560347,5.9328945497069245,0.08936081612372848,-0.005311580239380942,0.0027938206424433275,1.0,2711
"median funding 42 events, basis horizon 21, entry 0.00040",train_2020_2023,20,median,42,21,0.0004,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06257250525825747,0.023016894468380535,2.71854681978129,0.28310850917419095,-0.02947922108065515,0.007816912906739295,0.6277105683633873,2750
"median funding 42 events, basis horizon 21, entry 0.00040",forward_2024_onward,20,median,42,21,0.0004,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.032307255471655326,0.0049539002236356575,6.521579768101405,0.0832380168392639,-0.007738150437337721,0.003139119362783303,0.9184802655846551,2490
"median funding 42 events, basis horizon 21, entry 0.00050",train_2020_2023,20,median,42,21,0.0005,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06308327226656596,0.023421138933101392,2.6934331608190742,0.2856907249871754,-0.028268341910654415,0.006992675641050308,0.5231682264323214,2292
"median funding 42 events, basis horizon 21, entry 0.00050",forward_2024_onward,20,median,42,21,0.0005,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.030265630171527513,0.005356491224764278,5.650271586669016,0.07777105583738098,-0.007738150437335389,0.004286427211004641,0.9173736628550351,2487
"median funding 42 events, basis horizon 28, entry 0.00010",train_2020_2023,20,median,42,28,0.0001,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06179399599809799,0.02122420093700749,2.9114875128397015,0.27931959985221066,-0.032071243518050796,0.012594351854388333,0.9897283725176901,4336
"median funding 42 events, basis horizon 28, entry 0.00010",forward_2024_onward,20,median,42,28,0.0001,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.017072974664611447,0.005566382394359077,3.06715806695441,0.04313496883152079,-0.0197994834956714,0.009062251943164817,1.0,2711
"median funding 42 events, basis horizon 28, entry 0.00015",train_2020_2023,20,median,42,28,0.00015,0.0,False,2020-01-01T16:00:00,2023-12-31T16:00:00,4381,0.06941907903048851,0.022731492026486933,3.053872528455272,0.31877303588391204,-0.03147248718606499,0.01078855747478275,0.9698698927185574,4249
"median funding 42 events, basis horizon 28, entry 0.00015",forward_2024_onward,20,median,42,28,0.00015,0.0,False,2024-01-01T00:00:00,2026-06-22T08:00:00,2711,0.03206494308296526,0.005710660990006236,5.6149267377418335,0.08257756998486565,-0.005622606182671297,0.003497923628186415,1.0,2711
