ts,gross_return,net_return_20bps,spot_price_pnl,perp_price_pnl,funding_pnl,spot_turnover,perp_turnover,total_turnover,gross_exposure
2024-09-20 00:00:00,-1.4856708426562856e-05,-1.4856708426562856e-05,1.5851065985680185e-06,-6.418296887128472e-05,4.774115384615384e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-20 08:00:00,6.520028154664559e-06,6.520028154664559e-06,0.015328598460461664,-0.015367706124614692,4.56276923076923e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-20 16:00:00,0.00023618073584278184,0.00023618073584278184,-0.006961945888269826,0.007152661624112608,4.5465e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-21 00:00:00,1.7764766496593567e-05,1.7764766496593567e-05,0.0012808061272721776,-0.0013058302069294302,4.278884615384616e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-21 08:00:00,-3.520845626632043e-05,-3.520845626632043e-05,-1.3530488753252376e-05,-6.987335212845267e-05,4.8195384615384614e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-21 16:00:00,0.00012664297805420286,0.00012664297805420286,0.010449984124911162,-0.01036618037762619,4.283923076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-22 00:00:00,3.216794706319595e-05,3.216794706319595e-05,0.007049685385778549,-0.007063676284869199,4.6158846153846156e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-22 08:00:00,-4.103719769016165e-05,-4.103719769016165e-05,-0.009584152916905045,0.00950330379613796,3.9811923076923074e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-22 16:00:00,8.30258851870373e-05,8.30258851870373e-05,-0.007259352985517127,0.0073155988707041646,2.6780000000000004e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-23 00:00:00,2.0467133136975066e-05,2.0467133136975066e-05,0.005008569292225122,-0.0050082263898573775,2.0124230769230774e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-23 08:00:00,3.350888616016873e-05,3.350888616016873e-05,0.005206654582270389,-0.005216923003802528,4.377730769230769e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-23 16:00:00,8.014306562707922e-05,8.014306562707922e-05,0.0053929693235757695,-0.005351482411794844,3.865615384615385e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-24 00:00:00,-3.3628982704420595e-05,-3.3628982704420595e-05,-0.0007475142502983507,0.0006737675752862378,4.011769230769231e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-24 08:00:00,0.00011168252236587689,0.00011168252236587689,0.0025759244878943476,-0.0025073600424515476,4.311807692307693e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-24 16:00:00,1.8283251168268083e-06,1.8283251168268083e-06,-0.003838095086197488,0.003803361488237392,3.6561923076923076e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-25 00:00:00,-4.8449878847365504e-05,-4.8449878847365504e-05,0.014901051561871033,-0.014993943363795321,4.444192307692308e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-25 08:00:00,0.00010236575452278952,0.00010236575452278952,-0.003197918948488959,0.0032588985491655946,4.138615384615385e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-25 16:00:00,7.241477851047882e-05,7.241477851047882e-05,0.00041536912456647987,-0.0003869428075944626,4.3988461538461535e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-26 00:00:00,7.42064157386265e-05,7.42064157386265e-05,-0.004598109235566156,0.004628321805150937,4.399384615384616e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-26 08:00:00,2.3635509497978854e-05,2.3635509497978854e-05,0.015512870480412251,-0.015535741124760426,4.650615384615385e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-26 16:00:00,-4.016367070489101e-05,-4.016367070489101e-05,0.01079826339656967,-0.0108877086057361,4.928153846153846e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-27 00:00:00,0.00012310522791415308,0.00012310522791415308,-0.0035571188574450895,0.0036303683161284734,4.985576923076923e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-27 08:00:00,6.791817333933416e-05,6.791817333933416e-05,0.007543751779114209,-0.0075156062980825675,3.9772692307692305e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-27 16:00:00,0.00010620145740566727,0.00010620145740566727,0.0033475230142192046,-0.0032864004029673835,4.507884615384615e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-28 00:00:00,-9.434830236568166e-05,-9.434830236568166e-05,0.0015395187563541123,-0.001682348981796717,4.848192307692308e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-28 08:00:00,-4.5489501686088354e-05,-4.5489501686088354e-05,-0.006289696141977041,0.006197178178752491,4.702846153846154e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-28 16:00:00,9.551598942428053e-05,9.551598942428053e-05,0.006093595521368388,-0.006046987993482569,4.8908461538461536e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-29 00:00:00,0.0001351896429416397,0.0001351896429416397,-0.0007012296353082889,0.0007893692782499286,4.705e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-29 08:00:00,1.4534035674317125e-05,1.4534035674317125e-05,-0.008447221027125426,0.008415156216645897,4.659884615384615e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-29 16:00:00,4.452101522124098e-05,4.452101522124098e-05,0.007392600142123738,-0.007397638357671728,4.955923076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-30 00:00:00,4.615597615281522e-05,4.615597615281522e-05,-0.0020477188933647984,0.0020473287156714598,4.6546153846153845e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-30 08:00:00,0.00012199163453710255,0.00012199163453710255,-0.004689175244437277,0.004761697648205149,4.946923076923077e-05,0.0,0.0,0.0,0.9999999999999998
2024-09-30 16:00:00,5.8027242469206516e-06,5.8027242469206516e-06,-0.013783430784035504,0.013744980431359348,4.425307692307693e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-01 00:00:00,5.392161133751152e-05,5.392161133751152e-05,-0.005204242724487098,0.005215102028132302,4.3062307692307704e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-01 08:00:00,5.236159351542375e-05,5.236159351542375e-05,0.016495433236124575,-0.016483607027224536,4.0535384615384616e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-01 16:00:00,0.00012092807929129932,0.00012092807929129932,-0.026905605156250893,0.0269995955432345,2.693769230769231e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-02 00:00:00,-2.904382350789944e-05,-2.904382350789944e-05,-0.018145479352557104,0.018106085529049205,1.0350000000000001e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-02 08:00:00,3.620543087967331e-05,3.620543087967331e-05,0.010787722474714235,-0.010774523966911484,2.300692307692308e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-02 16:00:00,1.1625432251961524e-05,1.1625432251961524e-05,-0.009101583207052235,0.009079765946996504,3.344269230769231e-05,0.0,0.0,0.0,0.9999999999999998
2024-10-03 00:00:00,0.00010554758367339046,0.00010554758367339046,-0.01522316336254317,0.015309888638524253,1.8822307692307692e-05,0.0,0.0,0.0,0.9999999999999998
